Age,Gender,Ethnicity,School,Facebook in high regard,Instagram in high regard,lat,long
3,2,1,5,6,5,27.51480103,-80.31089783
2,1,1,4,5,5,40.71499634,-111.8934021
4,2,1,8,6,5,35.17869568,-89.75650024
3,1,1,5,3,5,41.70910645,-87.75959778
3,1,1,9,5,2,42.97419739,-78.84809875
3,1,1,9,4,7,34.19650269,-118.8188019
3,1,1,5,4,4,42.28900146,-83.36859894
2,2,3,5,4,4,34.13589478,-117.155304
2,2,1,5,5,5,40.09790039,-75.10780334
2,2,1,5,5,1,36.26429749,-95.82769775
2,2,1,5,4,2,40.10049438,-74.72029877
3,1,1,8,4,4,47.82090759,-122.3151016
6,1,1,5,3,4,42.69290161,-87.8042984
2,1,1,9,5,4,42.88639832,-78.87809753
5,1,1,8,2,3,40.71429443,-74.0059967
3,2,1,11,5,6,40.73080444,-73.99749756
3,1,3,8,6,7,35.186203,-80.74790192
5,1,1,9,4,3,42.42810059,-71.05460358
3,2,1,4,7,5,27.94749451,-81.92040253
2,1,4,5,2,5,46.84880066,-92.20320129
4,2,1,11,1,4,30.37609863,-91.17829895
2,1,1,8,5,6,39.38699341,-74.62169647
3,1,1,9,7,7,40.72140503,-74.00520325
2,2,1,3,5,3,25.78059387,-80.18260193
3,1,1,7,3,4,43.53669739,-96.6984024
3,1,1,5,1,1,41.42790222,-71.53639984
3,1,1,7,5,1,33.57369995,-80.35610199
2,1,2,8,3,3,31.15029907,-85.41139984
3,1,2,5,6,6,25.73629761,-80.40440369
4,2,1,8,2,4,39.07000732,-108.5376968
4,2,1,5,7,6,42.0796051,-71.03820038
2,1,5,8,7,4,39.93589783,-75.15339661
5,1,1,9,4,6,33.82049561,-116.4586029
6,1,3,7,7,7,30.290802,-81.63300323
3,1,1,5,5,4,40.10299683,-74.9414978
3,1,1,8,2,2,36.17590332,-86.80930328
2,1,1,8,7,6,42.88639832,-78.87809753
3,2,1,5,6,3,28.00979614,-81.93370056
2,1,1,5,1,1,27.43930054,-82.52140045
3,1,3,5,6,4,36.13330078,-86.80370331
4,2,1,9,6,5,31.02909851,-97.85350037
3,1,5,8,7,3,41.2348938,-96.0490036
2,2,1,8,7,7,38.77009583,-77.63210297
6,2,1,5,7,4,30.52520752,-84.33209991
2,2,3,8,7,7,10.31669617,-72.3167038
2,1,1,4,6,2,42.98750305,-82.46659851
5,2,1,7,4,2,28.62939453,-81.36190033
3,1,1,7,3,6,37.75100708,-97.8219986
3,1,1,9,7,7,34.19650269,-118.8188019
3,2,1,8,2,6,38.90420532,-77.03199768
4,1,1,7,6,6,34.12229919,-117.7142944
3,2,1,9,3,4,39.91229248,-75.15329742
4,1,1,8,2,1,32.26860046,-111.0021973
2,2,1,9,2,6,30.46769714,-84.13169861
4,1,1,8,4,4,44.27600098,-88.3730011
6,1,1,8,2,4,40.92720032,-74.30390167
5,2,1,4,3,4,44.45320129,-83.54090118
3,1,1,5,5,5,30.63110352,-88.2818985
3,1,1,5,4,5,39.73510742,-75.66840363
2,1,1,8,4,6,25.78059387,-80.18260193
2,1,1,5,2,3,45.65109253,-111.1776962
3,2,1,5,7,6,43.01390076,-71.43520355
2,1,5,8,5,4,40.74969482,-73.85340118
3,1,1,4,6,5,29.06550598,-95.38279724
3,3,1,8,1,2,38.2631073,-90.56890106
3,2,1,8,7,4,39.7696991,-76.65630341
3,1,1,5,6,2,27.77879333,-82.68229675
3,1,5,8,3,6,40.74000549,-73.93609619
4,1,1,7,3,1,37.35400391,-76.74669647
2,2,1,7,2,2,42.65800476,-83.18430328
2,1,2,7,6,7,39.48849487,-88.35959625
3,1,1,10,7,6,33.67480469,-111.9518967
3,2,3,5,7,1,34.3401947,-89.48329926
2,2,1,8,7,6,23.72900391,90.41119385
3,2,1,7,7,4,29.96800232,-90.02929688
4,2,1,8,5,5,42.72860718,-83.14759827
2,1,3,8,5,6,14.57530212,-60.97450256
5,2,3,9,6,4,28.21580505,-82.6595993
3,2,1,6,1,3,44.94290161,-123.0350952
3,2,1,7,7,3,41.15690613,-85.05560303
4,2,3,5,5,3,40.90829468,-73.83460236
3,2,5,7,2,5,38.68389893,-121.052597
3,2,5,8,1,1,43.01229858,-81.23069763
3,2,1,8,3,3,42.63420105,-72.6026001
4,2,1,6,6,6,32.90829468,-97.42829895
2,1,1,7,6,5,41.33869934,-72.69069672
2,2,3,8,7,5,30.61309814,-96.32170105
3,2,1,5,6,6,40.50990295,-85.62640381
4,2,5,8,4,4,32.23129272,-95.29579926
3,1,1,8,4,5,33.9828949,-84.32420349
5,2,1,5,4,7,40.25939941,-81.9641037
3,2,1,9,6,6,43.13110352,-88.33589935
4,2,1,3,4,4,39.90559387,-75.48739624
2,1,1,7,2,3,43.51899719,-96.73220062
4,2,1,5,2,5,38.34150696,-82.51799774
5,1,1,7,5,5,32.85740662,-96.87059784
4,1,5,10,2,3,39.27679443,-76.90149689
2,1,1,8,7,7,32.81480408,-96.87049866
5,1,1,5,5,5,37.76620483,-87.25910187
4,1,1,9,2,5,44.68490601,-92.88490295
3,2,1,9,7,7,37.34950256,-122.1163025
2,1,1,5,7,1,36.79679871,-76.17669678
3,1,1,8,5,6,42.65409851,-71.92199707
3,1,3,8,3,3,41.6934967,-87.61450195
3,2,1,6,4,5,37.68119812,-122.1344986
2,2,1,8,4,6,40.31489563,-86.89080048
4,2,3,8,5,1,37.50230408,-77.56929779
3,1,3,9,6,6,40.72140503,-74.00520325
3,1,2,4,6,1,33.9230957,-118.1396027
1,1,1,5,3,7,39.99299622,-82.99849701
3,1,5,8,4,1,40.76370239,-73.77249908
2,1,2,9,5,4,44.90159607,-122.9223022
2,1,1,8,6,7,38.77009583,-77.63210297
3,1,1,7,5,5,36.11129761,-115.2790985
3,1,1,7,2,5,34.22810364,-84.1780014
4,1,1,8,6,5,40.3117981,-88.146698
4,2,1,8,4,6,40.75059509,-73.82039642
