ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,FB_Regard_Rating,FB_Privacy_Rating,FB_Recommend,Insta_Regard_Rating,Insta_Privacy_Rating,Insta_Recommend,WA_Regard_Rating,WA_Privacy_Rating,WA_Recommend
66,3,1,1,7,10:00,606,43.89880371,-69.97250366,1,9,3,7,8,10,2,10,6
67,3,1,3,8,08:00,479,28.53109741,-80.85230255,7,10,10,7,10,10,1,0,0
68,3,2,1,5,11:00,612,42.33180237,-83.3710022,7,9,9,7,9,7,1,0,0
69,3,2,1,11,10:00,575,10.31669617,-72.3167038,7,4,9,7,8,9,7,10,10
70,4,1,1,8,11:00,609,40.76179504,-73.32929993,1,0,0,6,3,6,1,0,0
71,3,2,1,8,08:00,465,40.79100037,-73.92559814,4,8,10,7,7,10,7,8,10
72,3,2,2,9,11:00,637,25.70140076,-80.35820007,7,10,10,7,10,10,7,10,10
73,3,1,1,10,10:00,594,40.77619934,-73.95480347,1,0,1,6,5,9,2,1,1
74,2,1,1,4,09:00,513,41.77589417,-72.52149963,7,10,10,7,7,10,7,9,10
75,5,2,1,8,11:00,662,45.67410278,-122.4714966,3,4,5,3,0,5,4,0,0
76,3,2,1,5,06:00,376,25.78059387,-80.18260193,4,6,7,5,6,6,5,9,8
77,3,1,1,8,10:00,614,33.50799561,-112.1253967,3,1,5,4,3,5,4,0,5
78,3,1,1,10,10:00,614,29.7203064,-95.31390381,4,0,7,4,0,2,3,9,5
79,3,1,1,9,09:00,524,42.63389587,-71.29570007,3,1,2,2,2,0,1,0,0
80,2,1,1,8,08:00,519,34.62480164,-112.4219971,2,7,2,4,0,5,4,0,5
81,2,2,1,8,10:00,626,38.77009583,-77.63210297,6,8,10,5,7,7,7,10,10
82,4,2,1,8,11:00,694,41.49729919,-81.4713974,1,0,0,5,4,6,1,0,0
83,4,2,1,6,09:00,594,45.3217926,-122.5231018,2,0,0,2,2,0,4,10,0
84,2,1,1,8,11:00,630,29.73950195,-95.38790131,7,8,9,6,9,8,6,10,8
85,3,1,2,8,09:00,529,26.21589661,-98.32530212,1,0,0,1,1,0,2,2,0
86,5,2,1,4,12:00,704,34.15390015,-117.9918976,5,4,7,4,5,6,1,4,5
87,2,2,1,8,06:00,327,42.01060486,-87.66860199,2,0,0,6,8,8,4,0,0
88,3,1,1,8,05:00,287,37.27220154,-121.8435974,6,8,8,7,7,9,1,3,0
89,2,2,1,5,11:00,646,41.15319824,-85.48100281,7,5,10,4,5,5,4,5,5
90,3,2,5,7,08:00,472,26.36520386,127.758606,1,1,0,7,10,10,1,1,0
91,3,2,1,4,05:00,277,39.61720276,-75.86779785,4,3,5,7,7,5,2,6,0
92,2,1,1,8,11:00,645,40.76269531,-73.3227005,3,4,8,3,5,9,2,5,5
93,4,2,4,5,12:00,753,40.86849976,-73.83940125,3,2,3,4,8,0,3,4,1
94,5,2,1,8,11:00,695,48.18530273,-121.6777954,2,3,6,4,5,1,6,9,9
95,6,2,1,8,12:00,706,41.61230469,-86.13809967,4,6,10,4,0,0,1,0,0
96,3,2,3,8,12:00,741,29.79629517,-95.3266983,2,2,5,5,5,7,5,3,10
97,2,1,1,5,08:00,469,36.41540527,-83.70659637,6,4,8,4,4,5,4,5,5
98,3,1,1,8,09:00,552,36.63549805,-88.28299713,1,0,0,2,2,0,1,5,0
99,3,1,1,8,13:00,781,40.7644043,-74.18789673,6,5,9,7,6,8,5,7,10
100,2,2,2,7,10:00,624,36.16900635,-94.45639801,1,2,0,5,4,6,4,3,0
101,3,1,1,8,12:00,749,42.73350525,-87.87319946,6,5,7,7,8,10,5,5,5
102,2,1,3,5,10:00,600,33.62219238,-84.52310181,1,1,6,5,1,7,6,3,9
103,4,2,3,9,13:00,765,38.83779907,-77.00090027,6,6,9,5,7,9,5,8,9
104,3,1,1,9,10:00,610,40.72140503,-74.00520325,6,9,8,7,10,10,7,10,10
105,3,1,1,8,14:00,819,38.77009583,-77.63210297,5,5,7,2,8,7,4,8,6
106,3,1,1,5,09:00,573,43.87660217,-95.12770081,2,2,0,2,4,0,2,7,1
107,3,2,1,8,14:00,862,45.52340698,-122.6762009,3,2,0,5,5,8,4,5,0
108,5,1,1,9,10:00,619,29.86880493,-95.53800201,3,5,5,4,5,0,4,5,5
109,3,1,1,4,07:00,388,29.98219299,-95.17759705,4,5,5,5,9,9,1,0,0
110,4,2,3,8,13:00,786,43.06219482,-76.13790131,5,6,8,6,4,10,4,5,0
111,2,1,1,7,04:00,213,38.58309937,-121.4920959,4,3,4,7,3,3,3,3,6
112,4,1,1,8,08:00,479,35.0440979,-106.8904037,4,1,6,6,5,8,4,5,5
113,3,2,5,7,05:00,313,39.08979797,-77.06109619,2,6,0,2,6,0,4,7,0
114,4,2,1,8,15:00,888,34.040802,-84.16649628,5,5,7,4,4,4,4,6,3
115,3,1,1,7,12:00,716,35.68760681,-77.16609955,1,2,0,3,1,0,2,1,0
116,5,2,1,6,14:00,873,41.14819336,-81.47360229,4,0,1,4,0,0,4,0,0
117,5,1,1,8,10:00,619,19.3302002,100.2496948,6,1,1,6,9,7,6,7,5
118,3,1,3,4,13:00,786,36.1882019,-94.23729706,5,6,8,5,7,7,4,7,5
119,5,1,1,4,13:00,729,33.2507019,-86.9210968,3,2,4,4,3,1,4,0,0
120,3,2,1,9,15:00,895,35.07679749,-82.43609619,2,0,6,5,2,1,4,5,0
121,3,1,1,9,15:00,913,40.71279907,-73.29620361,4,2,8,1,2,1,6,2,9
122,3,1,3,9,06:00,353,40.7322998,-74.07540131,6,9,9,7,10,9,7,9,9
123,5,1,1,5,16:00,948,34.99650574,-82.3286972,4,1,8,4,1,5,1,0,0
124,2,1,5,8,15:00,867,40.89630127,-74.15129852,5,5,6,7,6,10,4,5,0
125,2,1,1,8,16:00,920,40.52999878,-74.22059631,6,3,8,6,5,7,2,2,1
126,5,2,2,5,16:00,994,28.0381012,-80.6115036,5,5,10,1,0,0,4,0,0
127,3,2,3,7,17:00,1013,41.56350708,-93.78420258,5,1,7,5,6,8,1,0,0
128,3,2,1,5,18:00,1067,27.51480103,-80.31089783,6,5,10,5,10,10,1,0,0
129,2,1,1,4,07:00,390,40.71499634,-111.8934021,5,4,6,5,5,0,4,5,0
130,4,2,1,8,05:00,283,35.17869568,-89.75650024,6,5,5,5,7,6,4,5,0
131,3,1,1,5,18:00,1093,41.70910645,-87.75959778,3,1,5,5,1,6,4,5,5
132,3,1,1,9,06:00,405,42.97419739,-78.84809875,5,1,8,2,2,6,1,0,0
133,3,1,1,9,08:00,446,34.19650269,-118.8188019,4,7,6,7,8,8,7,8,8
134,3,1,1,5,07:00,367,42.28900146,-83.36859894,4,1,5,4,1,5,4,5,5
135,2,2,3,5,19:00,1093,34.13589478,-117.155304,4,3,5,4,4,6,2,5,5
136,2,2,1,5,19:00,1141,40.09790039,-75.10780334,5,6,7,5,5,9,5,2,7
137,2,2,1,5,18:00,1069,36.26429749,-95.82769775,5,6,5,1,5,1,1,0,0
138,2,2,1,5,18:00,1107,40.10049438,-74.72029877,4,4,7,2,4,2,2,3,0
139,3,1,1,8,05:00,276,47.82090759,-122.3151016,4,7,5,4,6,3,1,5,0
140,6,1,1,5,20:00,1182,42.69290161,-87.8042984,3,3,7,4,5,5,4,0,5
141,2,1,1,9,08:00,456,42.88639832,-78.87809753,5,8,7,4,5,6,6,9,8
142,5,1,1,8,07:00,426,40.71429443,-74.0059967,2,2,5,3,3,6,1,4,0
143,3,2,1,11,10:00,614,40.73080444,-73.99749756,5,4,7,6,6,8,5,9,9
144,3,1,3,8,11:00,642,35.186203,-80.74790192,6,7,7,7,9,9,1,5,0
145,5,1,1,9,21:00,1237,42.42810059,-71.05460358,4,5,8,3,5,5,6,7,9
146,3,2,1,4,12:00,730,27.94749451,-81.92040253,7,8,10,5,5,3,1,10,1
147,2,1,4,5,13:00,762,46.84880066,-92.20320129,2,3,5,5,3,6,5,7,5
148,4,2,1,11,21:00,1247,30.37609863,-91.17829895,1,0,0,4,0,0,5,2,7
149,2,1,1,8,08:00,528,39.38699341,-74.62169647,5,6,7,6,7,8,5,7,7
150,3,1,1,9,08:00,426,40.72140503,-74.00520325,7,10,10,7,10,10,7,10,10
151,2,2,1,3,10:00,587,25.78059387,-80.18260193,5,5,7,3,6,6,5,6,6
152,3,1,1,7,13:00,826,43.53669739,-96.6984024,3,1,3,4,2,6,4,5,0
153,3,1,1,5,11:00,673,41.42790222,-71.53639984,1,0,0,1,0,0,2,0,0
154,3,1,1,7,10:00,634,33.57369995,-80.35610199,5,1,5,1,0,0,1,0,5
155,2,1,2,8,06:00,353,31.15029907,-85.41139984,3,4,4,3,2,4,3,1,4
156,3,1,2,5,13:00,816,25.73629761,-80.40440369,6,3,3,6,7,4,6,5,5
157,4,2,1,8,07:00,421,39.07000732,-108.5376968,2,0,5,4,1,5,1,2,5
158,4,2,1,5,14:00,827,42.0796051,-71.03820038,7,6,10,6,7,10,4,4,5
159,2,1,5,8,12:00,737,39.93589783,-75.15339661,7,2,4,4,1,4,4,3,4
160,5,1,1,9,13:00,781,33.82049561,-116.4586029,4,5,6,6,5,5,6,6,6
161,6,1,3,7,07:00,420,30.290802,-81.63300323,7,10,10,7,9,10,7,10,10
162,3,1,1,5,20:00,1215,40.10299683,-74.9414978,5,7,6,4,5,0,1,5,0
163,3,1,1,8,06:00,380,36.17590332,-86.80930328,2,1,2,2,3,0,4,5,0
164,2,1,1,8,08:00,481,42.88639832,-78.87809753,7,9,10,6,9,9,6,9,9
165,3,2,1,5,14:00,842,28.00979614,-81.93370056,6,7,9,3,5,5,2,0,0
166,2,1,1,5,11:00,700,27.43930054,-82.52140045,1,2,0,1,4,0,1,5,0
167,3,1,3,5,24:00,1440,36.13330078,-86.80370331,6,9,9,4,5,1,4,5,5
168,4,2,1,9,13:00,799,31.02909851,-97.85350037,6,4,9,5,5,3,4,5,6
169,3,1,5,8,14:00,857,41.2348938,-96.0490036,7,9,10,3,8,5,7,5,10
170,2,2,1,8,07:00,461,38.77009583,-77.63210297,7,9,9,7,8,8,7,10,10
171,6,2,1,5,26:00,1526,30.52520752,-84.33209991,7,10,10,4,0,0,4,0,0
172,2,2,3,8,27:00,1612,10.31669617,-72.3167038,7,7,6,7,5,7,6,7,8
173,2,1,1,4,07:00,375,42.98750305,-82.46659851,6,3,9,2,5,5,2,5,5
174,5,2,1,7,08:00,462,28.62939453,-81.36190033,4,2,1,2,4,2,1,0,0
175,3,1,1,7,08:00,453,37.75100708,-97.8219986,3,7,2,6,6,6,2,5,0
176,3,1,1,9,06:00,379,34.19650269,-118.8188019,7,8,8,7,8,8,7,7,8
177,3,2,1,8,10:00,605,38.90420532,-77.03199768,2,7,7,6,8,7,6,8,9
178,4,1,1,7,12:00,735,34.12229919,-117.7142944,6,6,9,6,4,9,1,5,0
179,3,2,1,9,10:00,598,39.91229248,-75.15329742,3,0,5,4,4,6,2,1,0
180,4,1,1,8,11:00,689,32.26860046,-111.0021973,2,4,6,1,1,0,2,5,5
181,2,2,1,9,13:00,824,30.46769714,-84.13169861,2,4,6,6,7,7,4,5,0
