ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,Company,Regard,Privacy,Recommend
80,2,1,1,8,8:00,519,34.62480164,-112.4219971,Facebook,2,7,2
81,2,2,1,8,10:00,626,38.77009583,-77.63210297,Facebook,6,8,10
82,4,2,1,8,11:00,694,41.49729919,-81.4713974,Facebook,1,0,0
83,4,2,1,6,9:00,594,45.3217926,-122.5231018,Facebook,2,0,0
84,2,1,1,8,11:00,630,29.73950195,-95.38790131,Facebook,7,8,9
85,3,1,2,8,9:00,529,26.21589661,-98.32530212,Facebook,1,0,0
86,5,2,1,4,12:00,704,34.15390015,-117.9918976,Facebook,5,4,7
87,2,2,1,8,6:00,327,42.01060486,-87.66860199,Facebook,2,0,0
88,3,1,1,8,5:00,287,37.27220154,-121.8435974,Facebook,6,8,8
89,2,2,1,5,11:00,646,41.15319824,-85.48100281,Facebook,7,5,10
90,3,2,5,7,8:00,472,26.36520386,127.758606,Facebook,1,1,0
91,3,2,1,4,5:00,277,39.61720276,-75.86779785,Facebook,4,3,5
92,2,1,1,8,11:00,645,40.76269531,-73.3227005,Facebook,3,4,8
93,4,2,4,5,12:00,753,40.86849976,-73.83940125,Facebook,3,2,3
94,5,2,1,8,11:00,695,48.18530273,-121.6777954,Facebook,2,3,6
95,6,2,1,8,12:00,706,41.61230469,-86.13809967,Facebook,4,6,10
96,3,2,3,8,12:00,741,29.79629517,-95.3266983,Facebook,2,2,5
97,2,1,1,5,8:00,469,36.41540527,-83.70659637,Facebook,6,4,8
98,3,1,1,8,9:00,552,36.63549805,-88.28299713,Facebook,1,0,0
99,3,1,1,8,13:00,781,40.7644043,-74.18789673,Facebook,6,5,9
100,2,2,2,7,10:00,624,36.16900635,-94.45639801,Facebook,1,2,0
101,3,1,1,8,12:00,749,42.73350525,-87.87319946,Facebook,6,5,7
102,2,1,3,5,10:00,600,33.62219238,-84.52310181,Facebook,1,1,6
103,4,2,3,9,13:00,765,38.83779907,-77.00090027,Facebook,6,6,9
104,3,1,1,9,10:00,610,40.72140503,-74.00520325,Facebook,6,9,8
105,3,1,1,8,14:00,819,38.77009583,-77.63210297,Facebook,5,5,7
106,3,1,1,5,9:00,573,43.87660217,-95.12770081,Facebook,2,2,0
107,3,2,1,8,14:00,862,45.52340698,-122.6762009,Facebook,3,2,0
108,5,1,1,9,10:00,619,29.86880493,-95.53800201,Facebook,3,5,5
109,3,1,1,4,7:00,388,29.98219299,-95.17759705,Facebook,4,5,5
110,4,2,3,8,13:00,786,43.06219482,-76.13790131,Facebook,5,6,8
111,2,1,1,7,4:00,213,38.58309937,-121.4920959,Facebook,4,3,4
112,4,1,1,8,8:00,479,35.0440979,-106.8904037,Facebook,4,1,6
113,3,2,5,7,5:00,313,39.08979797,-77.06109619,Facebook,2,6,0
114,4,2,1,8,15:00,888,34.040802,-84.16649628,Facebook,5,5,7
115,3,1,1,7,12:00,716,35.68760681,-77.16609955,Facebook,1,2,0
116,5,2,1,6,14:00,873,41.14819336,-81.47360229,Facebook,4,0,1
117,5,1,1,8,10:00,619,19.3302002,100.2496948,Facebook,6,1,1
118,3,1,3,4,13:00,786,36.1882019,-94.23729706,Facebook,5,6,8
119,5,1,1,4,13:00,729,33.2507019,-86.9210968,Facebook,3,2,4
